Date,Acceptance Rate
2024-05-01,5
2024-05-02,50
2024-05-03,67
2024-05-04,65
2024-05-05,19
2024-05-06,62
2024-05-07,38
2024-05-08,56
2024-05-09,57
2024-05-10,50
2024-05-11,41
2024-05-13,37
2024-05-14,41
2024-05-15,69
2024-05-16,51
2024-05-17,59
2024-05-18,88
2024-05-19,42
2024-05-20,38
2024-05-21,54
2024-05-22,55
2024-05-23,49
2024-05-24,55
2024-05-25,39
2024-05-26,55
2024-05-27,35
2024-05-28,53
2024-05-29,38
2024-05-30,42
2024-05-31,77
2024-06-01,5
2024-06-02,41
2024-06-03,64
2024-06-04,61
2024-06-05,62
2024-06-06,45
2024-06-07,30
2024-06-08,41
2024-06-09,32
2024-06-10,48
2024-06-11,57
2024-06-12,77
2024-06-13,28
2024-06-14,42
2024-06-15,30
2024-06-16,79
2024-06-17,59
2024-06-18,48
2024-06-19,66
2024-06-20,39
2024-06-21,54
2024-06-22,52
2024-06-23,46
2024-06-24,51
2024-06-25,42
2024-06-26,56
2024-06-27,37
2024-06-28,66
2024-06-29,17
2024-06-30,63
2024-07-01,50
2024-07-02,79
2024-07-03,62
2024-07-04,44
2024-07-05,7
2024-07-06,75
2024-07-07,67
2024-07-08,58
2024-07-09,54
2024-07-10,61
2024-07-11,52
2024-07-12,56
2024-07-13,40
2024-07-14,39
2024-07-15,68
2024-07-16,66
2024-07-17,53
2024-07-18,73
2024-07-19,57
2024-07-20,54
2024-07-21,69
2024-07-22,50
2024-07-23,54
2024-07-24,42
2024-07-25,61
2024-07-26,61
2024-07-27,43
2024-07-28,51
2024-07-29,54
2024-07-30,40
2024-07-31,59
2024-08-01,64
2024-08-02,66
2024-08-03,83
2024-08-04,73
2024-08-05,60
2024-08-06,65
2024-08-07,66
2024-08-08,54
2024-08-09,71
2024-08-10,46
2024-08-11,73
2024-08-12,55
2024-08-13,76
2024-08-14,71
2024-08-15,67
2024-08-16,63
2024-08-17,84
2024-08-18,80
2024-08-19,65
2024-08-20,71
2024-08-21,57
2024-08-22,56
2024-08-23,70
2024-08-24,58
2024-08-25,69
2024-08-26,61
2024-08-27,72
2024-08-28,61
2024-08-29,58
2024-08-30,72
2024-08-31,77
2024-09-01,52
2024-09-02,50
2024-09-03,63
2024-09-04,61
2024-09-05,67
2024-09-06,55
2024-09-07,55
2024-09-08,60
2024-09-09,68
2024-09-10,57
2024-09-11,57
2024-09-12,55
2024-09-13,59
2024-09-14,66
2024-09-15,55
2024-09-16,69
2024-09-17,56
2024-09-18,54
2024-09-19,57
2024-09-20,64
2024-09-21,65
2024-09-22,62
2024-09-23,64
2024-09-24,63
2024-09-25,60
2024-09-26,57
2024-09-27,63
2024-09-28,66
2024-09-29,70
2024-09-30,57
2024-10-01,62
2024-10-02,61
2024-10-03,61
2024-10-04,52
